stage,kind,query,reason,url_or_doi,date
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.25258/ijddt.16.74s.104,2026-08-16
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.38124/ijsrmt.v3i11.1597,2026-08-16
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.32628/cseit2410793,2026-08-16
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.3390/buildings16122472,2026-08-16
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.47989/ir31260449,2026-08-16
05实施控制,paper,"""issue log"" ""risk register"" project",title_abstract_not_on_topic,10.62225/2583049x.2025.5.6.6050,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.62225/2583049x.2025.5.5.5124,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1177/09500170231219677,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3126/md.v26i1.59145,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.29119/1641-3466.2024.198.6,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1016/j.heliyon.2023.e22949,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3389/fpsyg.2024.1427072,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.33423/jhetp.v24i3.6830,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/educsci15030369,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.28918/jei.v8i2.2276,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/futuretransp5020042,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.59075/ijss.v4i1.2039,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.20525/ijrbs.v13i5.3543,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.7176/ikm/13-5-02,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/admsci15050172,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1093/labmed/lmad091,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.4274/jems.2025.72473,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.48550/arxiv.2312.05481,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.47191/ijcsrr/v7-i2-49,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.37745/bjms.2013/vol12n57591,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.52131/pjhss.2024.v12i1.1948,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.47852/bonviewaia52026307,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.52783/tjjpt.v44.i3.1078,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1177/15480518241296665,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.62225/2583049x.2026.6.1.5559,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.38124/ijisrt/ijisrt24sep926,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/su18020974,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/su17209168,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.51867/ajernet.5.3.85,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.20885/jielariba.vol11.iss2.art1,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3390/systems13080636,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.70382/mejhlar.v8i6.036,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.30828/real.1566630,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.4236/ojbm.2025.132064,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1111/irel.12350,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.1145/3701613.3701616,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3126/qjmss.v5i2.60841,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.62674/ijabmr.2024.v2i02.004,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.56738/issn29603986.geo2025.6.121,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.55927/ijabm.v3i1.6918,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.5281/zenodo.20647819,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.38140/ijms-2024.vol1.03,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.37284/ijfa.3.1.1879,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.35631/ijemp.933017,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.3126/ijmss.v6i2.88508,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.52783/jisem.v10i48s.9499,2026-08-16
05实施控制,paper,"""management by exception"" earned value",title_abstract_not_on_topic,10.22610/imbr.v15i3(si).3464,2026-08-16
